"Name","StartYear","EndYear","StartDate","EndDate","Tenure","Term","CapitalCity","CapitalCode","Country","CountryCode","Fate","Ethnicity","Marriage"
"Yunus Pasha",1517,1517,"January 22, 1517","1517.0",0.27,1,"Cairo",0,"Egypt",4,"Willful Violent Removal","Non-Turkish","Yes"
"Hayir Bey",1517,1522,"August 31, 1517","October 5, 1522",5.08,1,"Cairo",0,"Egypt",4,"Non-violent Fate","Non-Turkish","No"
"Çoban Mustafa Pasha",1522,1523,"1522.0","1523.0",1,1,"Cairo",0,"Egypt",4,"Killed in Battle","Non-Turkish","No"
"Güzelce Kasim Pasha (1st)",1523,1523,"1523.0","1523.0",0.5,1,"Cairo",0,"Egypt",4,"Non-violent Fate","Non-Turkish","No"
"Hain Ahmed Pasha",1523,1524,"1523.0","1524.0",1,1,"Cairo",0,"Egypt",4,"Willful Violent Removal","Non-Turkish","No"
"Güzelce Kasim Pasha (2nd)",1524,1525,"1524.0","1525.0",1,2,"Cairo",0,"Egypt",4,"Non-violent Fate","Non-Turkish","No"
"Pargali Ibrahim Pasha",1525,1525,"1525.0","1525.0",0.25,1,"Cairo",0,"Egypt",4,"Willful Violent Removal","Non-Turkish","Yes"
"Hadim Süleyman Pasha (1st)",1525,1535,"1525.0","1535.0",10,1,"Cairo",0,"Egypt",4,"Unknown","Non-Turkish","No"
"Divane Hüsrev Pasha [tr]",1535,1537,"1535.0","1537.0",2,1,"Cairo",0,"Egypt",4,"Non-violent Fate","Non-Turkish","Yes"
"Hadim Süleyman Pasha (2nd)",1537,1538,"1537.0","1538.0",1,2,"Cairo",0,"Egypt",4,"Unknown","Non-Turkish","No"
"Davud Pasha",1538,1549,"April 1538","September 1549",11.5,1,"Cairo",0,"Egypt",4,"Non-violent Fate","Unknown","No"
"Lala Kara Mustafa Pasha",1549,1549,"1549.0","1549.0",0.25,1,"Cairo",0,"Egypt",4,"Non-violent Fate","Non-Turkish","Yes"
"Semiz Ali Pasha",1549,1553,"1549.0","1553.0",4,1,"Cairo",0,"Egypt",4,"Non-violent Fate","Non-Turkish","No"
