Sultan,Start,End
Selim I,1512,1520
Suleiman I,1520,1566
Selim II,1566,1574
Murad III,1574,1595
Mehmed III,1595,1603
Ahmed I,1603,1617
Mustafa I,1617,1618
Osman II,1618,1622
Mustafa I,1622,1623
Murad IV,1623,1640
Ibrahim,1640,1648
Mehmed IV,1648,1687
Suleiman II,1687,1691
Ahmed II,1691,1695
Mustafa II,1695,1703
Ahmed III,1703,1730
Mahmud I,1730,1754
Osman III,1754,1757
Mustafa III,1757,1774
Abdul Hamid I,1774,1789
Selim III,1789,1807
Mustafa IV,1807,1808
Mahmud II,1808,1839
Abdulmejid I,1839,1861
Abdulaziz,1861,1876
Murad V,1876,1876
Abdul Hamid II,1876,1909
Mehmed V,1909,1918
Mehmed VI,1918,1922
Abdulmejid II,1922,1924
